Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,¦Ó,DL,G,L,Ni3Al_fraction,creep_life
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,51.29536194,1.17883E-20,56.99072314,0.354400933,0.67757,53.8
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,2,4,16,1265,1079,899,871,379.5,39.74615009,6.34137E-21,68.67050721,0.349080679,0.58232,54.1
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,55.28739508,4.70067E-20,68.39834591,0.354245334,0.65618,54.2
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,55.2
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,58.97477103,1.75771E-20,65.81385731,0.354081578,0.90197,55.3
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,1148,90,46.52361208,1.38573E-20,68.44773947,0.355800306,0.77561,55.5
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,982,276,46.52361208,1.38573E-20,68.44773947,0.355800306,0.77561,55.5
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,871,552,51.08050632,2.10257E-20,56.62637804,0.356976215,0.67151,55.6
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,56.3
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,56.3
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,119.4323446,0.001309842,61.51446034,0.362381138,0.84633,57.4
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,57.9
60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,41.39961513,9.44651E-21,68.29255992,0.349142756,0.66788,58.5
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,44.22375736,2.21898E-20,68.7255489,0.351420203,0.66636,59.8
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,48.96918759,2.20732E-20,67.60921809,0.351901854,0.66733,60.1
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,57.35932096,4.23318E-20,67.19061333,0.354305558,0.6548,62.2
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,44.33249949,1.44863E-20,67.79971633,0.351493382,0.67408,63.1
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,63.7
